time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
503845,-0.04,0.02,1.00,-1.46,-2.08,1.71
503861,-0.04,0.07,1.00,4.03,-1.59,2.75
503877,-0.03,0.01,1.00,7.81,-1.40,3.60
503893,0.02,0.05,1.00,8.18,-1.83,3.78
503909,0.01,0.02,1.00,0.55,-1.59,4.46
503925,0.02,0.07,1.00,2.62,-1.83,6.77
503941,0.01,0.06,1.00,2.20,-2.01,11.47
503957,-0.02,-0.00,1.01,1.34,-1.34,21.55
503973,-0.02,-0.09,1.00,1.46,-0.73,31.25
503989,0.01,-0.12,1.00,3.66,-0.37,35.34
504005,0.02,-0.24,1.02,0.92,-0.49,35.83
504021,0.04,-0.27,1.01,-1.83,-1.53,29.91
504037,0.04,-0.28,1.01,-0.92,-1.53,25.57
504053,0.02,-0.32,1.01,1.89,-0.98,15.50
504069,-0.00,-0.36,1.01,1.46,-1.77,6.23
504085,-0.01,-0.39,1.01,1.04,-2.08,2.75
504101,0.02,-0.40,1.01,0.18,-2.08,-2.20
504117,0.06,-0.35,1.01,0.73,-2.08,-6.10
504133,0.09,-0.18,1.00,0.85,-1.95,-6.10
504149,-0.03,-0.10,1.00,1.71,-1.71,5.19
504165,-0.02,-0.15,1.01,3.23,-1.34,15.93
504181,-0.01,-0.21,1.01,2.62,-1.04,20.75
504197,0.02,-0.28,1.01,2.75,-0.67,29.05
504213,0.00,-0.30,1.01,-1.22,-1.40,27.28
504229,0.03,-0.31,1.01,-1.95,-1.59,21.48
504245,0.04,-0.26,1.01,1.83,-1.77,3.72
504261,0.00,-0.20,1.01,0.24,-2.69,-14.10
504277,-0.00,-0.17,1.00,1.40,-2.50,-18.86
504293,0.01,-0.12,1.00,3.66,-2.14,-21.30
504309,0.03,-0.10,1.00,2.56,-2.32,-16.78
504325,0.03,-0.10,1.00,-0.31,-2.62,-13.49
504341,0.01,-0.09,1.00,0.98,-3.36,-6.10
504357,-0.04,-0.05,1.00,-0.49,-2.20,-5.43
504373,-0.05,-0.03,1.01,0.73,-1.89,-5.31
504389,-0.01,-0.01,1.00,3.17,-2.14,-1.22
504405,0.01,-0.04,1.01,-1.10,-2.20,6.41
504421,0.03,-0.05,1.01,-0.31,-1.65,8.73
504437,0.02,-0.08,1.00,-1.59,-1.28,6.90
504453,-0.04,-0.05,1.01,-1.59,-2.44,-2.01
504469,-0.07,0.05,1.03,6.47,-2.69,-6.23
504485,-0.02,0.09,1.00,3.11,-1.89,-13.85
504501,0.01,0.10,1.00,2.99,-1.65,-9.09
504517,-0.00,0.07,1.00,3.30,-2.32,-5.80
504533,-0.01,-0.01,1.03,-1.10,-1.89,-2.69
504549,-0.05,-0.04,1.00,1.10,-1.40,-5.13
504565,-0.05,0.01,1.01,1.40,-1.65,-10.62
504581,-0.02,0.07,1.00,-0.31,-2.20,-21.79
504597,0.01,0.10,0.99,-1.34,-2.69,-26.79
504613,0.02,0.11,0.99,3.42,-2.56,-28.14
504629,0.03,0.13,1.00,7.08,-1.28,-30.15
504645,0.01,0.13,1.01,2.08,-2.20,-27.89
504661,-0.01,0.15,1.00,-0.61,-2.56,-26.18
504677,-0.05,0.27,1.00,0.61,-3.05,-27.34
504693,-0.03,0.34,0.99,3.54,-2.99,-29.30
504709,0.00,0.38,0.99,6.53,-2.62,-27.04
504725,0.01,0.41,0.99,7.39,-2.20,-17.52
504741,0.00,0.41,0.99,2.93,-2.01,-4.46
504757,-0.00,0.23,1.01,1.46,-1.89,0.18
504773,-0.01,0.09,1.00,-5.62,-2.32,-1.28
504789,-0.02,0.13,1.00,-5.74,-2.56,-17.46
504805,-0.03,0.23,0.99,-2.87,-2.50,-24.66
504821,-0.02,0.33,1.00,7.87,-2.44,-33.02
504837,-0.02,0.35,1.00,6.90,-2.08,-29.24
504853,-0.01,0.36,1.00,5.55,-2.01,-20.75
504869,-0.02,0.30,1.00,1.65,-1.46,2.26
504885,-0.02,0.26,1.00,0.31,-1.34,13.85
504901,-0.03,0.18,1.00,-0.49,-0.92,32.71
504917,-0.03,0.13,1.00,1.71,-2.01,39.49
504933,-0.03,0.13,1.00,2.81,-2.50,37.72
504949,-0.02,0.13,0.99,3.17,-1.95,30.33
504965,-0.02,0.12,1.01,3.54,-1.16,26.67
504981,-0.01,0.10,1.01,1.59,-1.22,26.92
504997,-0.01,0.04,1.00,-0.73,-2.20,29.36
505013,-0.03,0.03,1.01,-0.98,-1.95,27.83
505029,-0.03,0.04,1.00,-0.31,-1.28,24.90
505045,-0.01,0.08,1.00,3.85,-1.40,17.27
505061,0.02,0.08,0.99,5.25,-1.46,14.53
505077,0.02,0.06,1.00,4.21,-0.92,15.50
505093,0.04,0.02,1.00,4.21,-0.92,18.49
505109,0.00,-0.11,1.00,-5.25,-2.20,19.71
505125,-0.02,-0.09,1.00,0.85,-1.71,20.20
505141,-0.05,-0.08,1.01,4.94,-0.73,23.25
505157,-0.03,-0.09,1.01,1.83,-1.04,26.37
505173,-0.01,-0.12,1.00,0.43,-0.98,25.88
505189,-0.01,-0.17,1.01,2.87,0.00,26.98
505205,0.01,-0.23,1.01,-0.43,-0.85,26.31
505221,0.00,-0.28,1.02,0.31,-1.40,22.34
505237,0.04,-0.26,1.01,1.16,-1.34,14.95
505253,0.04,-0.27,1.01,0.31,-1.83,8.61
505269,0.03,-0.31,1.01,-0.24,-1.71,5.37
505285,0.01,-0.33,1.01,0.12,-1.83,-1.10
505301,0.03,-0.36,1.01,0.18,-2.14,-9.83
505317,0.03,-0.35,1.01,1.16,-2.14,-14.28
