time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
92629,0.16,-0.04,1.00,-0.31,-2.14,-15.93
92645,0.14,-0.04,1.01,1.89,-2.38,-14.59
92661,0.16,-0.00,0.99,-4.64,-2.26,-16.54
92677,0.16,0.01,0.99,0.92,-1.95,-15.50
92693,0.18,0.02,1.00,5.86,-1.89,-23.50
92709,0.16,0.05,1.01,0.24,-2.87,-28.02
92725,0.15,0.04,1.00,-4.03,-3.17,-28.08
92741,0.12,0.06,1.00,1.59,-2.38,-27.95
92757,0.11,0.09,1.00,5.43,-1.65,-31.07
92773,0.10,0.10,1.01,7.08,-1.46,-30.94
92789,0.10,0.11,1.01,3.30,-2.01,-26.86
92805,0.10,0.12,1.00,1.16,-2.62,-19.84
92821,0.10,0.09,1.00,-1.22,-2.75,-17.09
92837,0.13,0.09,0.99,-0.92,-2.56,-12.94
92853,0.10,0.13,1.02,4.94,-2.14,-14.28
92869,0.12,0.13,0.99,0.37,-1.89,-16.60
92885,0.08,0.18,1.00,4.76,-2.08,-15.81
92901,0.07,0.21,1.00,1.77,-3.05,-15.20
92917,0.08,0.21,0.99,-0.31,-3.05,-13.49
92933,0.06,0.21,1.00,1.16,-2.32,-7.26
92949,0.00,0.21,1.00,1.04,-2.44,-2.87
92965,-0.03,0.24,0.99,0.55,-2.08,-0.43
92981,-0.08,0.27,1.00,2.32,-2.26,3.42
92997,-0.05,0.25,0.99,1.83,-1.89,6.71
93013,-0.04,0.22,1.00,2.93,-1.77,8.54
93029,-0.04,0.17,1.00,2.62,-1.34,11.60
93045,-0.07,0.14,1.00,1.46,-2.20,14.16
93061,-0.07,0.15,1.00,2.44,-1.77,15.56
93077,-0.07,0.18,1.00,2.44,-1.95,16.60
93093,-0.08,0.19,1.00,1.10,-2.20,16.05
93109,-0.08,0.18,1.00,-0.67,-2.56,16.60
93125,-0.13,0.13,1.00,-1.53,-1.28,20.57
93141,-0.16,0.09,1.01,0.85,-1.40,23.56
93157,-0.17,0.07,1.00,1.89,-1.95,23.25
93173,-0.19,0.03,1.00,2.26,-2.08,22.34
93189,-0.18,0.01,1.00,2.99,-1.59,25.63
93205,-0.16,0.01,1.00,1.95,-1.22,25.45
93221,-0.14,0.00,1.00,2.14,-0.85,23.25
93237,-0.12,0.01,1.00,2.69,-1.04,18.68
93253,-0.12,0.02,1.01,3.36,-1.16,16.30
93269,-0.12,0.04,1.00,2.56,-2.01,10.62
93285,-0.11,0.06,1.01,2.38,-1.89,9.03
93301,-0.10,0.07,1.00,1.22,-2.01,11.60
93317,-0.09,0.07,1.00,1.71,-1.95,19.17
93333,-0.09,0.07,1.00,1.71,-1.59,22.46
93349,-0.10,0.04,1.00,0.31,-1.65,27.28
93365,-0.09,0.02,1.00,1.34,-2.62,28.87
93381,-0.10,0.00,0.99,1.95,-2.20,29.66
93397,-0.10,-0.01,1.00,2.01,-1.46,31.62
93413,-0.10,-0.03,1.00,2.20,-0.85,30.82
93429,-0.12,-0.04,1.00,2.87,-0.85,29.85
93445,-0.17,-0.04,1.01,0.31,-1.16,26.37
93461,-0.15,-0.04,1.00,-0.92,-0.85,21.30
93477,-0.14,-0.03,1.00,-0.06,-0.73,21.12
93493,-0.13,-0.09,1.01,0.92,-0.67,23.44
93509,-0.14,-0.12,1.01,3.48,-0.55,23.99
93525,-0.15,-0.13,1.00,3.23,-0.92,22.09
93541,-0.09,-0.16,1.01,0.85,-0.98,19.96
93557,-0.02,-0.20,1.01,-1.04,-0.49,22.28
93573,-0.02,-0.20,1.00,-0.06,-1.71,22.89
93589,-0.03,-0.23,1.01,3.54,-1.46,21.12
93605,-0.06,-0.29,1.02,0.61,-0.85,15.81
93621,-0.04,-0.29,1.01,1.04,-0.92,13.43
93637,0.06,-0.28,1.00,2.14,-1.65,7.93
93653,0.11,-0.28,1.01,1.34,-1.04,4.76
93669,0.07,-0.25,1.01,2.62,-1.34,1.77
93685,-0.01,-0.25,1.00,1.04,-1.34,-5.07
93701,0.04,-0.23,1.01,0.24,-0.85,-8.85
93717,0.07,-0.22,1.01,1.40,-1.22,-10.44
93733,0.12,-0.21,1.01,4.39,-2.69,-13.12
93749,0.11,-0.23,1.01,1.34,-2.69,-13.18
93765,0.10,-0.23,1.00,0.18,-2.99,-13.73
93781,0.07,-0.19,1.01,0.55,-2.38,-18.74
93797,0.09,-0.15,1.01,4.94,-1.22,-25.33
93813,0.13,-0.14,1.01,4.70,-1.16,-27.04
93829,0.16,-0.13,1.01,-1.46,-1.28,-25.94
93845,0.16,-0.09,1.01,-1.71,-2.44,-23.32
93861,0.13,-0.07,1.00,0.18,-3.36,-22.58
93877,0.12,0.02,1.00,5.37,-2.75,-23.38
93893,0.15,0.04,1.00,1.28,-1.71,-23.32
93909,0.15,0.04,1.00,1.16,-1.77,-21.36
93925,0.14,0.03,1.00,4.03,-2.50,-22.64
93941,0.17,0.06,1.01,-0.61,-2.93,-25.88
93957,0.18,0.06,0.98,-4.52,-2.99,-26.12
93973,0.17,0.14,1.01,3.05,-2.81,-30.21
93989,0.10,0.13,0.99,-4.21,-3.78,-31.37
94005,0.09,0.13,1.00,-0.49,-3.11,-26.73
94021,0.10,0.06,0.99,3.72,-1.83,-20.14
94037,0.06,0.01,1.01,4.58,-1.16,-18.01
94053,0.05,0.01,1.01,3.97,-1.53,-18.74
94069,0.03,0.05,1.00,2.62,-2.56,-21.30
94085,0.07,0.09,1.00,0.12,-2.93,-22.40
94101,0.09,0.10,1.00,-1.53,-3.05,-21.97
94117,0.08,0.11,1.01,2.38,-2.56,-18.31
94133,0.06,0.09,1.00,1.95,-2.20,-15.38
94149,0.05,0.09,1.00,3.17,-2.38,-13.55
94165,0.06,0.12,1.00,4.21,-1.77,-10.80
94181,0.05,0.17,1.00,1.71,-2.01,-8.91
94197,0.03,0.20,1.00,2.14,-2.50,-9.70
94213,0.01,0.25,1.00,1.59,-2.38,-16.36
94229,0.03,0.25,0.97,-0.43,-3.05,-22.77
94245,0.03,0.24,1.00,-0.18,-2.32,-21.36
94261,-0.01,0.23,1.00,0.49,-2.32,-11.41
94277,-0.02,0.21,1.00,1.34,-2.38,0.24
94293,-0.04,0.19,1.00,3.11,-2.01,4.09
94309,-0.05,0.16,1.01,3.48,-1.83,7.39
94325,-0.05,0.15,1.00,2.14,-2.20,8.91
94341,-0.03,0.14,1.00,1.10,-2.38,9.95
94357,-0.06,0.15,1.01,0.85,-2.14,10.80
94373,-0.07,0.16,1.00,2.14,-2.14,9.03
94389,-0.09,0.16,1.00,1.95,-2.01,8.54
