time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
102757,0.01,0.01,1.00,1.59,-1.95,2.14
102773,0.01,0.01,1.00,1.65,-1.89,2.14
102789,0.01,0.01,1.00,1.71,-1.89,2.14
102805,0.01,0.01,1.00,1.71,-1.89,2.20
102821,0.01,0.01,1.01,1.65,-1.89,2.14
102837,0.01,0.01,1.00,1.53,-1.83,2.14
102853,0.01,0.00,1.00,1.59,-1.83,2.14
102869,0.01,0.00,1.00,1.59,-1.89,2.14
102885,0.01,0.00,1.00,1.65,-1.95,2.14
102901,0.01,0.01,1.00,1.65,-1.95,2.20
102917,0.01,0.01,1.00,1.59,-1.95,2.20
102933,0.01,0.01,1.00,1.59,-1.89,2.14
102949,0.01,0.01,1.00,1.65,-1.95,2.14
102965,0.01,0.01,1.00,1.59,-1.89,2.14
102981,0.01,0.01,1.00,1.59,-1.95,2.14
102997,0.01,0.00,1.00,1.65,-1.95,2.14
103013,0.01,0.01,1.00,1.65,-1.89,2.20
103029,0.01,0.01,1.00,1.65,-1.89,2.08
103045,0.01,0.01,1.00,1.65,-1.89,2.14
103061,0.01,0.01,1.00,1.65,-1.95,2.14
103077,0.01,0.01,1.00,1.59,-1.89,2.14
103093,0.01,0.01,1.00,1.59,-1.77,2.14
103109,0.00,0.01,1.00,1.65,-1.83,2.14
103125,0.01,0.01,1.00,1.65,-1.83,2.14
103141,0.01,0.01,1.01,1.59,-1.89,2.08
103157,0.01,0.01,1.00,1.59,-1.83,2.08
103173,0.01,0.01,1.00,1.65,-1.89,2.20
103189,0.01,0.01,1.00,1.71,-1.89,2.14
103205,0.01,0.01,1.00,1.65,-1.95,2.14
103221,0.01,0.01,1.00,1.65,-1.89,2.14
103237,0.01,0.01,1.00,1.59,-1.89,2.08
103253,0.01,0.01,1.00,1.65,-1.89,2.14
103269,0.01,0.01,1.00,1.65,-1.95,2.14
103285,0.01,0.01,1.00,1.65,-1.95,2.14
103301,0.01,0.00,1.00,1.59,-1.95,2.14
103317,0.01,0.01,1.00,1.65,-1.89,2.14
103333,0.01,0.01,1.00,1.65,-1.89,2.20
103349,0.01,0.01,1.00,1.59,-1.89,2.20
103365,0.01,0.01,1.00,1.65,-1.89,2.14
103381,0.01,0.01,1.00,1.65,-1.89,2.14
103397,0.01,0.01,1.00,1.65,-1.89,2.08
103413,0.01,0.01,1.00,1.65,-1.89,2.14
103429,0.01,0.01,1.00,1.59,-1.83,2.14
103445,0.01,0.00,1.00,1.59,-1.89,2.14
103461,0.01,0.01,1.00,1.65,-1.89,2.08
103477,0.01,0.01,1.00,1.59,-1.83,2.08
103493,0.01,0.01,1.00,1.53,-1.89,2.14
103509,0.01,0.01,1.00,1.59,-1.89,2.20
103525,0.01,0.01,1.00,1.65,-1.89,2.08
