time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
42389,0.26,-0.08,0.50,-10.13,15.44,-6.53
42405,0.29,-0.07,0.54,-4.70,15.32,-4.94
42421,0.24,-0.09,0.62,-4.94,14.53,1.34
42437,0.22,-0.10,0.66,-7.26,15.26,3.05
42453,0.19,-0.11,0.71,-8.48,16.85,1.40
42469,0.18,-0.09,0.71,-1.16,14.89,-4.46
42485,0.19,-0.08,0.71,5.43,12.76,-6.65
42501,0.21,-0.04,0.72,17.76,9.95,-7.02
42517,0.17,-0.03,0.73,21.73,13.00,-2.44
42533,0.14,-0.04,0.75,21.24,16.91,0.67
42549,0.06,-0.04,0.82,19.59,24.35,4.64
42565,0.04,-0.01,0.87,16.48,26.25,-1.59
42581,0.07,-0.02,0.89,13.18,25.09,-6.77
42597,0.15,-0.02,0.90,9.52,25.27,-12.51
42613,0.16,-0.02,0.90,15.93,29.60,-7.39
42629,0.10,-0.02,0.92,20.39,31.19,-2.93
42645,0.02,-0.01,0.98,23.68,32.10,1.89
42661,0.01,-0.01,1.00,15.69,32.23,-1.10
42677,0.05,0.00,1.03,9.70,32.23,-4.76
42693,0.08,0.02,1.03,-0.31,33.69,-12.45
42709,0.09,0.03,1.02,14.22,37.54,-13.06
42725,0.03,0.06,1.02,4.39,39.37,-10.93
42741,0.01,0.07,1.04,10.31,40.65,-3.60
42757,0.04,0.07,1.05,8.97,39.43,-0.18
42773,0.06,0.05,1.05,8.18,37.72,3.23
42789,0.00,0.02,1.03,9.34,35.71,4.46
42805,-0.03,0.00,1.02,9.58,34.00,6.53
42821,-0.09,-0.03,1.04,9.09,33.94,8.30
42837,-0.08,-0.03,1.08,9.28,42.79,-1.83
42853,-0.07,0.00,1.11,10.19,48.52,-10.44
42869,-0.04,0.09,1.17,12.63,56.58,-28.02
42885,-0.05,0.18,1.13,-9.95,60.36,-35.52
42901,-0.05,0.25,1.26,17.76,61.22,-24.35
42917,-0.11,0.22,1.23,-4.70,37.23,-15.99
