timestamp,ch6,ch5,ch4,ch3,ch2,ch1,ch0,temp,humi
1740,4811251,1986273,553804,3805137,8146281,8147087,7287196,33.215839,91.540398
1750,4811982,1986331,553878,3804906,8146094,8146731,7285603,33.215839,91.589227
1760,4812720,1986363,553928,3805038,8146243,8146919,7282807,33.276265,91.631952
1770,4813635,1986460,553924,3805059,8146100,8147171,7315121,33.336690,91.638056
1780,4814328,1986590,554003,3805366,8146188,8146793,7349513,33.296407,91.683833
1790,4815025,1986473,554012,3805365,8145977,8146878,7366168,33.215839,91.699092
1800,4815802,1986646,554010,3805320,8146162,8146944,7339330,33.256123,91.764706
1810,4816481,1986488,554045,3805640,8146051,8146692,7309352,33.276265,91.754025
1820,4817267,1986572,554034,3805352,8146139,8146965,7304617,33.235981,91.786069
1830,4818134,1986631,554119,3805463,8146250,8146976,7310893,33.256123,91.837949
1840,4818828,1986707,554170,3805757,8146162,8147044,7332014,33.256123,91.862364
1850,4819510,1986517,554131,3805490,8146121,8147025,7364300,33.235981,91.895933
1860,4820347,1986778,554207,3805744,8145918,8146979,7367866,33.276265,91.949340
1870,4821083,1986799,554318,3805889,8146166,8147103,7368107,33.376974,91.947814
1880,4821691,1986798,554246,3805829,8146020,8147061,7366400,33.215839,91.979858
1890,4822310,1986672,554352,3806207,8146098,8146952,7330155,33.235981,92.005798
1900,4823149,1986803,554343,3805897,8146078,8147017,7301359,33.276265,92.022583
1910,4824008,1986745,554380,3806086,8145979,8146905,7286652,33.276265,92.071412
1920,4824830,1986803,554361,3806018,8145809,8146875,7277988,33.256123,92.057679
1930,4825400,1986883,554443,3805733,8146015,8146839,7277406,33.256123,92.118715
1940,4826211,1986773,554487,3806221,8145665,8146795,7307895,33.296407,92.147707
1950,4826870,1986818,554532,3806526,8145984,8146873,7324772,33.336690,92.187381
1960,4827655,1986853,554557,3806479,8146041,8146993,7351172,33.336690,92.162966
1970,4828308,1986846,554539,3806599,8145985,8147156,7370026,33.316548,92.246891
1980,4829136,1986988,554601,3806478,8145755,8147069,7367740,33.356832,92.239261
1990,4829887,1987176,554661,3806827,8145906,8146145,7340706,33.276265,92.242313
2000,4830742,1987226,554635,3806748,8146065,8145787,7320096,33.356832,92.275883
2010,4831374,1987141,554662,3806861,8146039,8145546,7325868,33.316548,92.307927
2020,4831874,1987393,554737,3806705,8145740,8145410,7325939,33.276265,92.339971
2030,4832784,1987341,554670,3806477,8145707,8145268,7348402,33.356832,92.349126
2040,4833508,1987474,554759,3806708,8145959,8145214,7364478,33.256123,92.411688
2050,4834004,1987564,554808,3807000,8146067,8145575,7371556,33.256123,92.387274
2060,4834833,1987635,554904,3806615,8145888,8145198,7352629,33.276265,92.425422
2070,4835521,1987749,554848,3806741,8145853,8145465,7326043,33.296407,92.489509
2080,4836190,1987826,554878,3806867,8145879,8145324,7302141,33.316548,92.466621
2090,4836652,1987929,554897,3806919,8146086,8145626,7283826,33.356832,92.520027
2100,4837517,1987966,554997,3807273,8145945,8145270,7299136,33.356832,92.568856
2110,4838184,1988052,555007,3807151,8145953,8145199,7312489,33.336690,92.541390
2120,4838788,1987987,554975,3807143,8145949,8144884,7328001,33.336690,92.590219
2130,4839494,1988371,555008,3807203,8146056,8145092,7345325,33.356832,92.605478
2140,4839998,1988329,555133,3807693,8146238,8145030,7343975,33.356832,92.654307
2150,4840769,1988345,555134,3807865,8146094,8144812,7314180,33.316548,92.637522
2160,4841392,1988358,555149,3807619,8145993,8144955,7295235,33.336690,92.675669
2170,4842115,1988479,555254,3807279,8145944,8144729,7280235,33.356832,92.703136
2180,4842766,1988716,555163,3807446,8145802,8144656,7274592,33.397116,92.719921
2190,4843434,1988917,555230,3807437,8146210,8144908,7271923,33.296407,92.770275
2200,4844011,1989021,555255,3807297,8145717,8144540,7275017,33.336690,92.773327
2210,4844701,1988808,555287,3807561,8146127,8145052,7303706,33.336690,92.834363
2220,4845432,1988861,555300,3807180,8145821,8145290,7341271,33.336690,92.822156
2230,4846181,1989034,555375,3807584,8145783,8145443,7339140,33.316548,92.832837
2240,4846725,1988933,555349,3807587,8145676,8145675,7356254,33.376974,92.875563
2250,4847378,1989035,555383,3807701,8145903,8145828,7374968,33.276265,92.901503
2260,4848076,1989277,555506,3807774,8145868,8145990,7375186,33.316548,92.918288
2270,4848855,1989147,555445,3807694,8145790,8146051,7348966,33.336690,92.919814
2280,4849463,1988943,555488,3807634,8145782,8146047,7330052,33.336690,92.944228
2290,4849961,1988948,555626,3807824,8145849,8146113,7345265,33.356832,92.971695
2300,4850811,1988940,555513,3807846,8145733,8145748,7365194,33.356832,92.996109
2310,4851289,1989048,555568,3808151,8145792,8146151,7374297,33.356832,92.983902
2320,4851867,1989108,555618,3808131,8145793,8146036,7378691,33.397116,93.049516
2330,4852571,1989151,555657,3807996,8145686,8146079,7373295,33.376974,93.058671
2340,4853368,1989058,555694,3808040,8145496,8145854,7335457,33.336690,93.054093
2350,4853975,1989177,555738,3808061,8145404,8146168,7303719,33.336690,93.041886
2360,4854673,1989163,555796,3808700,8145873,8146320,7288136,33.296407,93.075456
2370,4855411,1989216,555911,3808581,8146003,8146322,7306561,33.336690,93.151751
2380,4855919,1989106,555817,3808584,8145689,8146472,7324707,33.376974,93.144121
2390,4856455,1989138,555819,3808631,8145650,8146465,7358599,33.356832,93.191424
2400,4857227,1989338,555940,3808838,8145820,8146267,7367870,33.376974,93.205158
2410,4857869,1989354,555943,3808892,8145722,8146223,7357184,33.376974,93.192950
2420,4858511,1989279,555964,3808768,8145502,8146454,7329035,33.376974,93.217365
2430,4859235,1989451,556047,3808649,8145364,8146288,7297592,33.356832,93.264668
2440,4859835,1989391,556043,3809136,8145580,8146257,7278108,33.417258,93.246357
2450,4860520,1989279,556094,3809103,8145600,8146569,7273395,33.417258,93.295186
2460,4860974,1989274,556080,3809170,8145697,8146530,7276306,33.376974,93.302815
2470,4861571,1989363,556085,3809288,8145690,8146584,7304885,33.356832,93.337911
2480,4862243,1989348,556178,3809167,8145597,8146286,7324846,33.397116,93.330282
2490,4862852,1989337,556171,3809424,8145734,8146449,7346318,33.457542,93.348592
2500,4863427,1989333,556195,3809731,8145639,8146577,7331064,33.397116,93.403525
2510,4864234,1989302,556237,3809531,8145438,8146273,7309006,33.356832,93.411154
2520,4864853,1989409,556273,3809705,8145582,8145905,7297316,33.457542,93.470665
2530,4865300,1989508,556282,3809089,8145519,8145648,7284392,33.356832,93.423362
2540,4865982,1989331,556384,3809325,8145432,8145878,7285200,33.457542,93.470665
2550,4866419,1989563,556360,3809488,8145661,8145824,7307214,33.397116,93.488975
2560,4867261,1989646,556467,3809561,8145478,8145849,7338694,33.397116,93.513390
2570,4867744,1989830,556456,3809232,8145547,8145954,7348501,33.417258,93.527123
2580,4868167,1989711,556445,3809687,8145369,8145850,7349892,33.477684,93.534752
2590,4869125,1989804,556519,3809782,8145578,8146525,7326272,33.397116,93.586633
2600,4869817,1989911,556520,3809818,8145517,8147067,7308209,33.397116,93.562219
2610,4870233,1989991,556567,3809872,8145538,8147172,7296151,33.397116,93.586633
2620,4870871,1989881,556552,3809727,8145483,8147304,7306442,33.457542,93.580529
2630,4871415,1989734,556644,3809844,8145369,8146665,7333888,33.437400,93.627832
2640,4871864,1990079,556704,3809958,8145718,8146495,7363430,33.517967,93.672084
2650,4872449,1990114,556709,3810095,8145531,8146712,7379128,33.417258,93.673610
2660,4873081,1990059,556679,3809969,8145190,8146939,7383471,33.397116,93.659876
2670,4873653,1990239,556737,3809902,8146018,8147449,7370821,33.497826,93.694972
2680,4874307,1990322,556762,3810081,8145372,8147199,7369421,33.437400,93.688869
2690,4875159,1990399,556805,3809942,8145434,8146571,7389061,33.477684,93.717861
2700,4875494,1990497,556944,3810050,8145355,8146801,7397068,33.437400,93.725490
2710,4876107,1990821,556860,3809974,8145297,8147052,7381228,33.437400,93.749905
2720,4876555,1990750,556947,3809839,8145398,8147218,7377335,33.397116,93.806363
2730,4877346,1990869,556932,3809921,8145435,8146875,7381784,33.457542,93.800259
2740,4877715,1991046,556964,3809875,8145253,8146823,7392599,33.477684,93.803311
2750,4878502,1990916,557017,3809948,8145404,8147122,7388777,33.437400,93.810941
2760,4879161,1991017,557051,3809942,8145395,8146725,7367434,33.497826,93.841459
