timestamp,ch6,ch5,ch4,ch3,ch2,ch1,ch0,temp,humi
1240,3671911,1544262,399850,3247745,8147872,8149203,7538919,30.577249,95.928893
1250,3671863,1544124,399870,3247595,8147949,8149319,7539050,30.597391,95.918212
1260,3671794,1544212,399855,3247666,8148258,8149254,7539078,30.577249,95.928893
1270,3671660,1544279,399818,3247519,8147875,8149311,7539067,30.557107,95.962463
1280,3671720,1544263,399802,3247476,8148017,8149447,7539546,30.637675,95.971618
1290,3671485,1544038,399837,3247822,8147853,8149144,7539304,30.637675,95.959411
1300,3671775,1544174,399810,3247661,8147849,8149109,7539427,30.657816,95.936522
1310,3671625,1544051,399807,3247703,8148000,8149336,7539614,30.597391,95.906004
1320,3671371,1544042,399815,3247632,8147834,8149083,7539494,30.577249,95.928893
1330,3671596,1544123,399741,3247431,8148013,8149086,7539183,30.637675,95.971618
1340,3671508,1543920,399793,3247526,8147866,8149216,7539301,30.657816,95.948730
1350,3671457,1543910,399773,3247316,8148071,8149338,7539352,30.617533,95.907530
1360,3671501,1543991,399772,3247342,8147721,8148995,7539223,30.617533,95.931945
1370,3671484,1543903,399789,3247500,8148146,8149088,7539245,30.597391,95.918212
1380,3671475,1543909,399817,3247544,8147934,8149294,7539178,30.617533,95.931945
1390,3671498,1543825,399771,3247625,8147917,8149081,7539550,30.597391,95.906004
1400,3671441,1544031,399774,3247555,8148064,8149333,7539706,30.597391,95.954833
1410,3671381,1543973,399836,3247470,8148148,8149305,7539553,30.597391,95.906004
1420,3671428,1543886,399765,3247463,8148020,8149394,7539586,30.577249,95.953307
1430,3671229,1543854,399780,3247435,8148102,8149445,7539689,30.657816,95.948730
1440,3671236,1543782,399735,3247659,8147908,8149166,7539519,30.617533,95.956359
1450,3671308,1543869,399748,3247626,8148049,8149381,7539684,30.657816,95.936522
1460,3671251,1543717,399745,3247326,8147956,8149207,7539431,30.577249,95.916686
1470,3671080,1543755,399773,3247470,8147919,8149267,7539394,30.637675,95.922789
1480,3671038,1543612,399715,3247491,8147773,8149037,7539745,30.536965,95.948730
1490,3670942,1543579,399781,3247371,8148011,8149423,7539428,30.637675,95.947204
1500,3670968,1543662,399765,3247462,8147679,8148934,7539233,30.597391,95.954833
1510,3671022,1543580,399729,3247484,8147919,8149266,7539945,30.637675,95.910582
1520,3670818,1543525,399763,3247151,8147713,8149117,7539393,30.577249,95.916686
1530,3670893,1543565,399805,3247372,8148036,8149366,7539682,30.617533,95.919738
1540,3670901,1543353,399709,3247326,8147931,8149212,7539770,30.617533,95.907530
1550,3670721,1543315,399756,3247337,8147942,8149279,7539388,30.738384,95.957885
1560,3670852,1543356,399733,3247401,8148134,8149323,7539469,30.557107,95.938048
1570,3670566,1543408,399743,3247356,8147865,8149218,7539476,30.597391,95.942626
1580,3670745,1543231,399694,3247387,8148053,8149254,7539726,30.577249,95.953307
1590,3670838,1543414,399713,3247327,8147927,8149419,7539564,30.657816,95.924315
1600,3670763,1543247,399764,3247276,8147754,8149238,7539854,30.617533,95.907530
1610,3670622,1543332,399745,3247214,8148121,8149206,7539892,30.557107,95.901427
1620,3670458,1543414,399756,3247337,8147707,8149185,7539702,30.577249,95.928893
1630,3670524,1543453,399717,3247087,8147871,8149253,7539834,30.476539,95.916686
1640,3670365,1543209,399655,3247290,8147780,8149288,7539537,30.557107,95.889220
1650,3670426,1543338,399686,3247110,8147912,8149239,7539634,30.536965,95.924315
1660,3670373,1543201,399654,3247247,8147957,8149031,7539506,30.577249,95.941100
1670,3670287,1543315,399657,3247073,8148127,8149293,7539557,30.617533,95.919738
1680,3670363,1543334,399620,3247130,8147747,8149044,7539817,30.597391,95.930419
1690,3670375,1543314,399707,3247147,8147984,8149342,7539761,30.597391,95.918212
1700,3670263,1543125,399664,3247333,8147693,8149043,7539636,30.577249,95.941100
1710,3670244,1543205,399701,3247184,8147928,8149146,7539799,30.637675,95.922789
1720,3670349,1543022,399733,3246859,8147718,8149290,7540097,30.577249,95.928893
1730,3670161,1543123,399644,3246972,8148030,8149354,7540360,30.597391,95.906004
1740,3670170,1543117,399655,3247138,8147672,8149027,7539998,30.617533,95.919738
1750,3670049,1542840,399641,3247124,8147918,8149219,7540097,30.597391,95.918212
1760,3670097,1542961,399639,3246829,8147675,8149010,7539905,30.577249,95.928893
1770,3670172,1542860,399662,3247057,8147931,8149213,7540049,30.637675,95.934997
1780,3670097,1543101,399662,3247249,8148134,8149451,7540093,30.577249,95.904479
1790,3669988,1543010,399680,3246975,8147992,8149218,7539655,30.657816,95.912108
1800,3669920,1543072,399682,3246882,8148005,8149172,7539560,30.617533,95.931945
1810,3669891,1542970,399674,3246784,8147974,8149477,7540072,30.637675,95.922789
1820,3669898,1542860,399656,3246974,8147649,8149191,7539811,30.617533,95.956359
1830,3669783,1542921,399618,3247033,8147973,8149070,7540115,30.617533,95.944152
1840,3669938,1542792,399622,3246987,8147865,8148881,7540086,30.657816,95.899901
1850,3669726,1542825,399621,3247163,8147951,8149399,7540257,30.557107,95.913634
1860,3669649,1542733,399605,3247016,8147716,8148917,7539751,30.637675,95.922789
1870,3669659,1542894,399610,3246918,8147980,8149259,7539901,30.637675,95.947204
1880,3669654,1542644,399597,3246971,8148015,8149099,7539781,30.557107,95.925841
1890,3669591,1542733,399557,3247060,8147893,8149288,7539574,30.617533,95.944152
1900,3669693,1542934,399608,3247117,8147811,8149164,7539318,30.617533,95.944152
1910,3669682,1542823,399612,3247216,8147958,8149142,7539617,30.577249,95.904479
1920,3669598,1542831,399600,3247218,8147729,8149065,7539669,30.637675,95.922789
1930,3669543,1542847,399608,3247129,8147910,8149247,7539742,30.637675,95.898375
1940,3669532,1542659,399653,3246952,8147942,8149265,7539782,30.637675,95.910582
1950,3669401,1542557,399624,3246792,8147593,8149201,7539715,30.617533,95.907530
1960,3669225,1542762,399619,3246877,8147758,8149074,7539240,30.637675,95.861753
1970,3669437,1542857,399616,3247226,8148052,8149535,7539357,30.617533,95.931945
1980,3669335,1542651,399599,3246899,8147897,8149139,7539431,30.597391,95.881590
1990,3669171,1542561,399626,3246851,8147662,8149044,7539533,30.617533,95.919738
2000,3669283,1542499,399547,3246930,8147697,8148724,7539836,30.637675,95.922789
2010,3669211,1542389,399591,3246915,8147862,8149248,7539815,30.577249,95.916686
2020,3669288,1542365,399564,3246919,8147562,8148957,7539492,30.557107,95.938048
2030,3669166,1542421,399568,3246708,8147814,8149279,7539677,30.577249,95.892271
2040,3669070,1542613,399555,3246729,8147633,8149111,7539754,30.657816,95.924315
2050,3669024,1542520,399532,3247184,8147790,8148848,7540005,30.597391,95.906004
2060,3668901,1542605,399532,3246881,8147555,8149003,7539864,30.597391,95.918212
2070,3669094,1542547,399566,3247091,8147719,8148760,7539420,30.677958,95.951781
2080,3669012,1542545,399577,3246749,8147803,8149079,7539617,30.637675,95.934997
2090,3668918,1542398,399560,3246636,8147709,8149112,7539387,30.657816,95.912108
2100,3668992,1542449,399559,3246570,8147960,8149307,7539290,30.577249,95.892271
2110,3669104,1542393,399486,3246788,8148036,8149274,7539121,30.577249,95.880064
2120,3668801,1542384,399578,3246552,8147865,8149195,7539342,30.577249,95.904479
2130,3668951,1542440,399526,3246761,8148031,8149162,7539456,30.597391,95.918212
2140,3668896,1542215,399565,3247064,8147861,8149038,7539354,30.577249,95.916686
2150,3668715,1542249,399567,3247047,8147813,8149171,7539410,30.617533,95.895323
2160,3668572,1542139,399454,3246870,8147791,8149000,7539290,30.597391,95.918212
2170,3668529,1542224,399558,3246896,8147673,8149030,7539166,30.577249,95.892271
2180,3668694,1542244,399497,3246581,8147889,8149178,7539141,30.557107,95.889220
2190,3668563,1542294,399472,3246667,8147939,8149258,7539474,30.557107,95.901427
2200,3668441,1542214,399516,3246566,8147664,8149017,7538931,30.597391,95.918212
2210,3668546,1542226,399523,3246766,8147853,8149149,7538928,30.557107,95.877012
2220,3668597,1542045,399549,3246915,8147730,8148954,7538686,30.597391,95.942626
2230,3668411,1542213,399485,3246601,8148022,8149276,7539074,30.597391,95.893797
2240,3668396,1542109,399451,3246725,8147819,8149044,7538770,30.617533,95.907530
2250,3668387,1542103,399486,3246612,8147699,8149208,7539010,30.617533,95.919738
2260,3668340,1542026,399482,3246430,8147585,8148979,7538900,30.557107,95.925841
2270,3668151,1541923,399474,3246533,8147670,8149065,7538739,30.597391,95.906004
2280,3668355,1542211,399424,3246541,8147505,8148940,7538776,30.617533,95.919738
2290,3668278,1542169,399528,3246422,8147851,8148976,7538847,30.577249,95.892271
2300,3668207,1542083,399467,3246684,8147575,8148953,7538545,30.617533,95.931945
2310,3668175,1542003,399570,3246751,8147657,8149124,7538505,30.637675,95.922789
2320,3668139,1542032,399477,3246679,8147590,8148875,7538790,30.597391,95.918212
2330,3668162,1541971,399445,3246616,8147779,8148935,7538600,30.617533,95.895323
2340,3668185,1541954,399459,3246423,8147512,8148802,7538516,30.597391,95.906004
2350,3668116,1541943,399409,3246720,8148062,8149269,7539000,30.557107,95.889220
2360,3668038,1541912,399455,3246495,8147655,8149084,7538873,30.557107,95.901427
2370,3668112,1541919,399461,3246682,8147758,8149055,7539008,30.617533,95.907530
2380,3668049,1541981,399460,3246811,8147902,8149201,7539403,30.637675,95.934997
2390,3668234,1541815,399441,3246806,8147903,8149301,7539538,30.577249,95.928893
2400,3668070,1541660,399448,3246726,8147671,8148967,7539415,30.536965,95.924315
2410,3668180,1541837,399426,3246876,8147982,8149240,7539563,30.557107,95.901427
2420,3668244,1541782,399421,3246664,8147848,8149103,7539699,30.597391,95.918212
2430,3668004,1541732,399446,3246746,8148065,8149464,7539639,30.657816,95.899901
2440,3668089,1541805,399417,3246593,8147906,8149321,7539454,30.637675,95.934997
2450,3667884,1541689,399464,3246626,8147897,8149242,7539627,30.617533,95.883116
2460,3667783,1541762,399434,3246810,8147946,8149187,7539240,30.597391,95.881590
2470,3667828,1541757,399428,3246869,8147838,8149212,7539293,30.617533,95.895323
2480,3667715,1541745,399459,3246780,8147981,8149044,7539321,30.536965,95.887694
2490,3667710,1541798,399473,3247055,8147989,8149254,7539457,30.637675,95.910582
2500,3667793,1541901,399409,3246682,8147881,8149083,7539106,30.557107,95.913634
2510,3667826,1541767,399461,3246742,8148021,8149209,7539281,30.577249,95.880064
2520,3667831,1541753,399458,3246369,8148021,8149181,7539066,30.637675,95.873960
2530,3667840,1541730,399444,3246637,8148218,8149413,7539191,30.617533,95.907530
2540,3667601,1541708,399419,3246648,8147815,8148868,7539231,30.536965,95.851072
2550,3667747,1541577,399409,3246571,8148104,8149166,7539290,30.637675,95.934997
2560,3667614,1541635,399411,3246879,8148000,8149234,7538628,30.577249,95.880064
2570,3667666,1541600,399451,3246573,8148052,8149380,7538900,30.597391,95.930419
2580,3667717,1541380,399341,3246552,8147698,8149032,7539126,30.617533,95.895323
2590,3667659,1541509,399344,3246739,8147576,8149208,7539291,30.557107,95.889220
2600,3667749,1541398,399356,3246520,8147787,8149028,7539162,30.557107,95.877012
2610,3667664,1541365,399400,3246704,8147943,8149378,7539484,30.597391,95.893797
2620,3667520,1541399,399395,3246640,8147977,8149102,7539355,30.597391,95.893797
2630,3667763,1541360,399378,3246783,8147983,8149252,7539542,30.617533,95.883116
2640,3667611,1541454,399299,3246543,8147824,8149076,7539222,30.637675,95.898375
2650,3667503,1541317,399386,3246741,8147861,8149253,7539411,30.597391,95.906004
2660,3667510,1541397,399366,3246649,8147963,8149089,7539532,30.597391,95.881590
2670,3667433,1541415,399298,3246499,8147660,8149146,7539315,30.617533,95.895323
2680,3667469,1541267,399327,3246499,8147786,8149253,7539497,30.617533,95.883116
2690,3667298,1541365,399376,3246802,8147869,8149118,7539704,30.557107,95.901427
2700,3667322,1541444,399352,3246359,8147661,8148906,7539813,30.657816,95.912108
2710,3667362,1541543,399324,3246725,8147844,8149128,7539518,30.617533,95.919738
2720,3667292,1541361,399342,3246499,8147910,8149110,7539774,30.557107,95.877012
2730,3667265,1541256,399295,3246770,8148157,8149365,7540133,30.577249,95.855650
2740,3667397,1541390,399320,3246731,8147859,8149081,7539820,30.617533,95.870909
2750,3667390,1541278,399339,3246579,8148078,8149395,7540073,30.597391,95.918212
2760,3667244,1541476,399318,3246448,8147810,8149237,7540109,30.617533,95.883116
2770,3667086,1541428,399314,3246218,8147657,8149259,7539613,30.637675,95.873960
2780,3667010,1541361,399323,3246362,8147980,8149185,7539998,30.617533,95.870909
2790,3666954,1541300,399331,3246351,8148128,8149155,7539997,30.677958,95.854124
2800,3667071,1541374,399346,3246381,8147976,8149440,7540138,30.536965,95.875486
2810,3667314,1541482,399354,3246552,8147961,8149377,7540052,30.597391,95.906004
2820,3666919,1541229,399349,3246515,8147831,8148996,7539737,30.597391,95.881590
2830,3666981,1541074,399273,3246386,8148108,8149359,7539780,30.657816,95.887694
2840,3666941,1541073,399345,3246492,8147984,8149157,7539690,30.677958,95.878538
2850,3667116,1541090,399314,3246655,8147797,8149053,7539931,30.617533,95.870909
2860,3667028,1541180,399267,3246713,8147818,8149005,7539375,30.577249,95.880064
2870,3666754,1541038,399328,3246594,8147858,8149068,7539475,30.577249,95.880064
2880,3667021,1541028,399250,3246221,8147897,8149269,7539834,30.577249,95.892271
2890,3666983,1540923,399264,3246385,8147622,8149040,7539227,30.577249,95.904479
2900,3667019,1541035,399322,3246548,8147676,8149231,7539129,30.637675,95.861753
2910,3666981,1541118,399280,3246441,8147799,8149123,7539727,30.597391,95.881590
2920,3666760,1541170,399326,3246457,8147892,8149026,7539752,30.597391,95.893797
2930,3667002,1541170,399344,3246547,8147859,8149057,7539886,30.617533,95.870909
2940,3666799,1541189,399258,3246577,8147691,8148959,7539477,30.577249,95.843442
2950,3667022,1541095,399286,3246695,8147922,8149350,7539810,30.637675,95.873960
2960,3666782,1541108,399264,3246443,8147849,8149136,7539650,30.617533,95.883116
2970,3666757,1541052,399220,3246687,8147819,8149029,7539380,30.577249,95.831235
2980,3666664,1540951,399292,3246422,8147756,8149065,7539551,30.577249,95.880064
2990,3666787,1540935,399242,3246501,8147965,8149307,7539239,30.597391,95.869383
3000,3666667,1540992,399238,3246418,8147824,8149062,7539459,30.597391,95.906004
3010,3666774,1540909,399305,3246461,8147808,8149242,7540009,30.597391,95.906004
3020,3666624,1541019,399274,3246283,8147763,8149066,7539309,30.637675,95.886168
3030,3666587,1540907,399252,3246460,8148058,8149202,7539118,30.597391,95.869383
3040,3666515,1540890,399195,3246275,8147784,8149225,7539587,30.637675,95.886168
3050,3666629,1540854,399204,3246204,8147677,8149109,7539781,30.577249,95.867857
3060,3666398,1540835,399235,3246129,8147793,8149107,7540007,30.617533,95.846494
3070,3666456,1540968,399245,3246498,8147847,8149453,7540360,30.557107,95.877012
3080,3666407,1540810,399214,3246028,8147926,8149042,7540107,30.557107,95.864805
3090,3666565,1540988,399206,3246297,8147761,8149147,7540170,30.617533,95.870909
3100,3666489,1540679,399148,3246260,8147771,8149120,7540288,30.597391,95.857176
3110,3666448,1540737,399204,3246321,8147817,8148948,7539565,30.577249,95.855650
3120,3666381,1540629,399221,3246336,8147741,8148996,7539596,30.577249,95.855650
3130,3666343,1540682,399153,3246134,8147822,8149239,7540116,30.637675,95.873960
3140,3666316,1540650,399193,3246350,8147798,8148879,7540244,30.637675,95.873960
3150,3666267,1540828,399181,3246289,8147930,8149000,7539895,30.597391,95.857176
3160,3666391,1541015,399226,3246199,8147844,8149154,7539895,30.557107,95.864805
3170,3666281,1540815,399225,3246080,8147894,8149062,7539904,30.557107,95.852598
3180,3666289,1540634,399216,3246265,8147802,8149089,7539725,30.577249,95.867857
3190,3666340,1540716,399148,3245854,8147747,8149011,7539591,30.536965,95.863279
3200,3666242,1540665,399219,3245889,8147615,8148863,7539722,30.577249,95.855650
3210,3666002,1540554,399162,3246011,8148010,8149392,7539670,30.577249,95.855650
3220,3666164,1540569,399130,3246251,8147640,8149042,7539355,30.557107,95.864805
3230,3665965,1540620,399153,3246180,8148169,8149068,7539439,30.536965,95.851072
3240,3666205,1540464,399127,3246438,8147814,8149195,7539764,30.516823,95.872435
3250,3666198,1540511,399138,3246357,8147776,8149337,7539888,30.436255,95.863279
3260,3666046,1540420,399138,3246296,8147704,8149171,7539564,30.476539,95.855650
3270,3665914,1540311,399114,3246220,8147551,8149093,7539501,30.536965,95.887694
3280,3665977,1540307,399159,3246466,8147754,8148722,7539308,30.416114,95.861753
3290,3666004,1540371,399215,3246407,8147654,8149154,7539700,30.416114,95.873960
3300,3665886,1540374,399176,3246175,8147729,8149081,7539752,30.375830,95.832761
3310,3665815,1540508,399123,3246203,8147787,8148946,7540119,30.375830,95.844968
3320,3665920,1540282,399174,3246116,8147692,8149073,7540142,30.275120,95.834287
3330,3665986,1540300,399173,3246321,8148007,8149024,7540131,30.355688,95.855650
3340,3666017,1540229,399159,3246342,8147694,8148987,7540182,30.295262,95.811398
3350,3665880,1540264,399107,3246345,8147772,8149157,7540277,30.295262,95.823606
3360,3665883,1540197,399155,3246262,8147896,8148998,7539976,30.295262,95.848020
3370,3665899,1540296,399174,3246233,8147792,8149009,7540297,30.234836,95.805295
3380,3665743,1540067,399110,3246024,8147690,8148907,7540331,30.254978,95.844968
3390,3665708,1540093,399163,3246218,8147803,8149081,7539684,30.275120,95.822080
3400,3665711,1539990,399067,3246097,8147541,8148898,7540229,30.234836,95.817502
3410,3665596,1540062,399066,3246098,8147824,8149188,7540609,30.194553,95.849546
3420,3665677,1540142,399098,3245866,8147721,8148815,7540278,30.174411,95.786984
3430,3665494,1540049,399132,3246137,8147985,8149226,7540673,30.134127,95.819028
3440,3665646,1540130,399078,3246251,8147653,8149100,7540257,30.214694,95.815976
3450,3665657,1540287,399045,3246106,8147679,8149012,7540429,30.134127,95.806821
3460,3665549,1539910,399089,3246122,8147697,8149094,7540701,30.154269,95.783932
3470,3665522,1540115,399043,3246318,8147699,8148994,7540804,30.174411,95.774777
3480,3665520,1540051,399144,3246187,8147669,8149023,7540613,30.113985,95.791562
